problem_id,problem_tier,categories
4,1,"['7', '12']"
6,1,['1']
24,1,"['7', '11', '22', '23']"
71,1,"['2', '14', '19']"
88,1,['7']
93,1,['2']
104,1,['5']
205,1,"['2', '5']"
411,1,['2']
423,1,"['16', '22']"
445,1,"['5', '6']"
651,1,"['2', '16']"
668,1,['2']
724,1,['7']
888,1,"['7', '9', '11']"
991,1,"['2', '16']"
995,1,"['2', '16']"
1002,1,['2']
1312,1,"['2', '16']"
1339,1,['22']
1783,1,['16']
1840,1,['2']
1889,1,"['2', '16']"
2069,19,"['1', '7']"
2073,1,"['2', '5']"
2074,1,"['2', '5']"
2075,1,"['2', '5']"
2076,1,"['2', '5']"
2077,1,"['2', '5']"
2078,1,"['2', '5']"
2079,1,"['2', '5']"
2080,1,"['2', '5']"
2081,1,"['2', '5']"
2082,1,"['2', '5']"
2083,1,"['2', '5']"
2084,1,"['2', '5']"
2085,1,"['2', '5']"
2086,1,"['2', '5']"
2261,1,"['2', '16']"
2284,1,['7']
2285,1,['7']
2458,1,"['2', '16']"
2535,1,"['2', '6']"
2733,1,"['11', '14']"
2762,1,"['7', '12']"
2770,1,['7']
2792,1,"['2', '16']"
2898,1,"['4', '22']"
2899,1,"['2', '5']"
2900,1,"['2', '15', '16']"
2901,1,"['2', '5']"
2903,1,"['2', '5']"
2904,1,"['4', '14']"
2905,1,"['5', '21']"
2906,1,['2']
2914,1,['2']
2951,1,['2']
2998,1,"['16', '22']"
2999,1,"['16', '22']"
3000,1,"['16', '22']"
3001,1,"['16', '22']"
3002,1,"['16', '22']"
3003,1,"['16', '22']"
3004,1,"['16', '22']"
3074,1,"['2', '5']"
3078,1,['5']
3079,1,['5']
3081,1,"['4', '15']"
3085,1,"['2', '5']"
3151,1,['1']
3161,1,['16']
3185,1,"['2', '16']"
3228,1,"['2', '7']"
3341,1,"['1', '15', '16', '17']"
3506,1,"['4', '16']"
3588,1,['7']
3589,1,['7']
3590,1,['7']
3591,1,['7']
3592,1,['7']
3593,1,['7']
3594,1,['7']
3595,1,['7']
3596,1,"['1', '15']"
3597,1,"['1', '15']"
3598,1,"['1', '15']"
3599,1,"['1', '15']"
3600,1,"['1', '15']"
3601,1,"['1', '15']"
3602,1,"['1', '15']"
3603,1,"['1', '15']"
3862,22,"['3', '11', '14', '25']"
3924,1,['2']
3925,1,['2']
3926,1,['2']
